0.154,0.327,0.486,4
0.105,0.325,0.535,4
0.123,0.324,0.566,4
0.127,0.328,0.518,4
0.145,0.373,0.589,4
0.163,0.327,0.414,4
0.135,0.328,0.513,4
0.12,0.325,0.528,4
0.161,0.331,0.473,4
0.158,0.328,0.483,4
0.125,0.369,0.604,4
0.131,0.362,0.593,4
0.161,0.326,0.477,4
0.159,0.408,0.65,4
0.115,0.328,0.532,4
0.108,0.312,0.506,4
0.131,0.323,0.522,4
0.113,0.328,0.529,4
0.166,0.329,0.478,4
0.124,0.328,0.638,4
0.098,0.208,0.315,4
0.161,0.329,0.474,4
0.111,0.331,0.529,4
0.112,0.324,0.54,4
0.115,0.391,0.646,4
0.137,0.327,0.509,4
0.114,0.323,0.59,4
0.154,0.325,0.5,4
0.168,0.325,0.47,4
0.151,0.301,0.445,4
0.117,0.326,0.529,4
0.116,0.329,0.526,4
0.147,0.295,0.437,4
1.36E-01,3.21E-01,5.12E-01,4
1.22E-01,3.25E-01,5.28E-01,4
1.59E-01,3.22E-01,4.79E-01,4
1.34E-01,3.24E-01,8.25E-01,4
1.07E-01,3.24E-01,5.38E-01,4
1.25E-01,3.27E-01,5.19E-01,4
1.54E-01,3.22E-01,4.93E-01,4
1.30E-01,3.88E-01,6.18E-01,4
1.26E-01,3.27E-01,5.21E-01,4
1.47E-01,3.55E-01,5.59E-01,4
1.27E-01,3.11E-01,5.01E-01,4
0.162,0.324,0.476,4
0.36,0.324,0.211,5
0.377,0.319,0.257,5
0.351,0.32,0.273,5
0.354,0.326,0.268,5
0.384,0.317,0.311,5
0.366,0.321,0.261,5
0.382,0.321,0.25,5
0.348,0.319,0.27,5
0.338,0.323,0.284,5
0.345,0.316,0.269,5
0.347,0.323,0.273,5
0.37,0.361,0.304,5
0.379,0.322,0.257,5
0.357,0.289,0.246,5
0.35,0.319,0.28,5
0.351,0.319,0.271,5
0.371,0.317,0.267,5
0.345,0.322,0.277,5
0.357,0.32,0.269,5
0.347,0.321,0.273,5
0.371,0.395,0.319,5
0.353,0.33,0.261,5
0.36,0.317,0.274,5
0.383,0.317,0.252,5
0.345,0.321,0.278,5
0.357,0.325,0.268,5
0.371,0.316,0.262,5
0.35,0.321,0.272,5
0.353,0.32,0.272,5
0.354,0.32,0.269,5
0.345,0.323,0.277,5
0.35,0.319,0.272,5
0.381,0.315,0.315,5
0.369,0.324,0.253,5
0.356,0.318,0.267,5
0.337,0.321,0.285,5
0.334,0.307,0.26,5
0.341,0.317,0.271,5
3.57E-01,3.23E-01,2.66E-01,5
3.81E-01,3.53E-01,2.83E-01,5
3.55E-01,3.17E-01,2.59E-01,5
3.81E-01,3.19E-01,2.54E-01,5
3.45E-01,3.22E-01,2.73E-01,5
3.50E-01,3.18E-01,2.80E-01,5
3.47E-01,3.18E-01,2.73E-01,5
3.79E-01,3.18E-01,2.57E-01,5
5.13E-01,4.36E-01,3.58E-01,5
3.58E-01,3.19E-01,2.61E-01,5
3.45E-01,3.18E-01,2.80E-01,5
3.48E-01,3.13E-01,2.71E-01,5
3.65E-01,3.15E-01,2.70E-01,5
3.63E-01,3.26E-01,2.64E-01,5
3.45E-01,3.21E-01,2.74E-01,5
3.54E-01,3.35E-01,2.62E-01,5
3.79E-01,3.19E-01,2.57E-01,5
3.48E-01,3.19E-01,2.72E-01,5
3.49E-01,3.19E-01,2.72E-01,5
3.50E-01,3.19E-01,2.70E-01,5
3.67E-01,3.17E-01,2.61E-01,5
3.91E-01,3.43E-01,2.69E-01,5
3.45E-01,3.21E-01,2.75E-01,5
3.39E-01,3.33E-01,2.85E-01,5
3.78E-01,3.61E-01,2.91E-01,5
3.49E-01,3.19E-01,2.70E-01,5
3.78E-01,3.91E-01,3.06E-01,5
